expected_slug,display_name,source_csvs,track_count,is_multi_track,is_1off_only,is_cover_artist,existing_files,file_count,recommended_action,notes
hellacopters,The Hellacopters,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hellacopters.md from CSV.
hello-shark,Hello Shark,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hello-shark.md from CSV.
hemlocke-springs,hemlocke springs,All_artists_Hh.csv,2,True,False,False,content\posts\hemlocke-springs.md,1,KEEP,Already at canonical location.
henry-earnest,Henry Earnest,Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/henry-earnest.md from CSV.
herbert,Herbert,All_artists_Hh.csv,2,True,False,False,content\herbert-2-songs.md,1,MOVE_AND_RENAME,Move content\herbert-2-songs.md -> content/posts/herbert.md
hercules-love-affair,Hercules & Love Affair,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hercules-love-affair.md from CSV.
herman-dune,Herman Düne,All_artists_Hh.csv,1,True,False,False,content\posts\herman-d-ne.md; content\herman-dune.md,2,MERGE_REVIEW,2 files for one artist: content\posts\herman-d-ne.md; content\herman-dune.md
herve-pagez,Herve Pagez,Songs-Hh-2000s-10s.csv,2,False,True,False,,0,CREATE,No file. Create content/posts/herve-pagez.md from CSV.
hether,Hether,All_artists_Hh.csv,6,True,False,False,content\posts\hether.md,1,KEEP,Already at canonical location.
hey-nothing,"hey, nothing",Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hey-nothing.md from CSV.
hidden-cameras,The Hidden Cameras,All_artists_Hh.csv,2,True,False,False,content\hidden-camera.md; content\hidden-cameras.md,2,MERGE_REVIEW,2 files for one artist: content\hidden-camera.md; content\hidden-cameras.md
high-places,High Places,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/high-places.md from CSV.
hikaru-utada,Hikaru Utada,Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hikaru-utada.md from CSV.
hilary-duff,Hilary Duff,All_artists_Hh.csv,4,True,False,False,content\posts\hilary-duff.md,1,KEEP,Already at canonical location.
hinds,Hinds,Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hinds.md from CSV.
hitkidd,Hitkidd,All_artists_Hh.csv,4,True,False,False,content\hitkidd.md,1,MOVE_AND_RENAME,Move content\hitkidd.md -> content/posts/hitkidd.md
hives,The Hives,All_artists_Hh.csv,3,True,False,False,content\hives.md,1,MOVE_AND_RENAME,Move content\hives.md -> content/posts/hives.md
hoagy-carmichael,Hoagy Carmichael,All_artists_Hh.csv,2,True,False,False,content\posts\hoagy-carmichael.md,1,KEEP,Already at canonical location.
hold-steady,The Hold Steady,All_artists_Hh.csv,25,True,False,False,content\hold-steady.md,1,MOVE_AND_RENAME,Move content\hold-steady.md -> content/posts/hold-steady.md
hole,Hole,All_artists_Hh.csv,6,True,False,False,content\posts\hole.md,1,KEEP,Already at canonical location.
holiday-sidewinder,Holiday Sidewinder,Songs-Hh-2000s-10s.csv,1,False,True,False,content\holiday-sidewinder.md,1,MOVE_AND_RENAME,Move content\holiday-sidewinder.md -> content/posts/holiday-sidewinder.md
hollies,The Hollies,All_artists_Hh.csv,2,True,False,False,content\hollies.md,1,MOVE_AND_RENAME,Move content\hollies.md -> content/posts/hollies.md
holychild,HOLYCHILD,Songs-Hh-2000s-10s.csv,1,False,True,False,content\holychild.md,1,MOVE_AND_RENAME,Move content\holychild.md -> content/posts/holychild.md
homer,Homer,All_artists_Hh.csv,3,True,False,False,content\homer.md,1,MOVE_AND_RENAME,Move content\homer.md -> content/posts/homer.md
honey-cone,Honey Cone,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/honey-cone.md from CSV.
honey-harper,Honey Harper,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/honey-harper.md from CSV.
honorebel,Honorebel,Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/honorebel.md from CSV.
hoodoo-gurus,Hoodoo Gurus,Songs-Hh-1900s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hoodoo-gurus.md from CSV.
hook-n-sling,Hook N Sling,Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hook-n-sling.md from CSV.
horsegiirl,horsegiirL,Songs-HH-2020s.csv,1,False,True,False,content\horsegiirl.md,1,MOVE_AND_RENAME,Move content\horsegiirl.md -> content/posts/horsegiirl.md
horsegirl,Horsegirl,All_artists_Hh.csv,2,True,False,False,content\posts\horsegirl.md,1,KEEP,Already at canonical location.
horsey,Horsey,Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/horsey.md from CSV.
hospitality,Hospitality,All_artists_Hh.csv,2,True,False,False,content\posts\hospitality.md,1,KEEP,Already at canonical location.
hot-8-brass-band,Hot 8 Brass Band,Covers-Hh.csv,1,False,False,True,,0,CREATE,No file. Create content/posts/hot-8-brass-band.md from CSV.
hot-boys,Hot Boys,All_artists_Hh.csv,2,True,False,False,content\posts\hot-boys.md,1,KEEP,Already at canonical location.
hot-chip,Hot Chip,All_artists_Hh.csv,3,True,False,False,content\hot-chip-4-songs.md,1,MOVE_AND_RENAME,Move content\hot-chip-4-songs.md -> content/posts/hot-chip.md
hotblock-jmoe,HotBlock Jmoe,Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hotblock-jmoe.md from CSV.
houndmouth,Houndmouth,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/houndmouth.md from CSV.
hovvdy,Hovvdy,All_artists_Hh.csv,9,True,False,False,content\posts\hovvdy.md,1,KEEP,Already at canonical location.
how-s-your-news,How's Your News,All_artists_Hh.csv,2,True,False,False,content\posts\how-s-your-news.md; content\hows-your-news.md,2,MERGE_THEN_DELETE,"Canonical exists. Merge richer content from content\hows-your-news.md into content/posts/how-s-your-news.md, delete legacy."
howe-gelb,Howe Gelb,Songs-Hh-2000s-10s.csv,2,False,True,False,,0,CREATE,No file. Create content/posts/howe-gelb.md from CSV.
howlin-wolf,Howlin' Wolf,Songs-Hh-1900s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/howlin-wolf.md from CSV.
hozier,Hozier,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hozier.md from CSV.
