title,artist_display,year,album,label,date,notes,tags,yt_url,spotify_playlist_url,slug
My New Song,The Artist,2026,The Album,The Label,2026-01-09,"Your notes here","trap, hip-hop",https://www.youtube.com/watch?v=dQw4w9WgXcQ,https://open.spotify.com/track/123,my-new-song-slug

Best 11 Songs,Gaza Slim,2026,Best of Playlist,Various,2026-01-12,"BigBanonos Top 11 Picks. Bonus Video: https://www.youtube.com/watch?v=afluo0wlEVw  | Tracklist: 1. Na Give You Bun 2. Everything Fi Hold Him 3. First Thing 4. Frontline 5. Weh Yuh Know Bout 6. Don 7. Low Life 8. Number One 9. Better Now 10. None A Dem 11. One Man - Raw","dancehall, reggae, vanessa bling, soca",https://www.youtube.com/watch?v=KPu58LjWurI,https://open.spotify.com/playlist/6IOBLJWqAJqAx57VkgtQQM?si=d56a30d54f8c41f6,gaza-slim-best-11-songs
